"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000102908",-3.73197340826643,11.3383679052881,-26.7506772633335,3.61077090176976e-62,3.98732088755513e-58,131.201258789408
"ENSG00000170946",-2.26848376044833,10.9504485165201,-26.7386350007066,3.83746777109391e-62,3.98732088755513e-58,131.140751357295
"ENSG00000112514",1.6756278391232,13.2671467467014,25.6578132193227,9.72983016017942e-60,4.32808603051987e-56,125.638462406327
"ENSG00000076321",-1.86136343280604,11.603274646957,-25.6539501531578,9.92675282482142e-60,4.32808603051987e-56,125.618540128558
"ENSG00000180488",-2.46105388038427,10.7459921165845,-25.6447212416997,1.04135653494054e-59,4.32808603051987e-56,125.57093812901
"ENSG00000116586",1.62503868945199,12.8042379478727,25.402382430112,3.67436613038206e-59,1.13703777577676e-55,124.31721398591
"ENSG00000181817",1.24742756919323,12.660481251218,25.3944289451328,3.83006805757052e-59,1.13703777577676e-55,124.275944178098
"ENSG00000123096",-3.09732089865928,11.7015284239474,-25.2928463529604,6.51187136206649e-59,1.6915399846888e-55,123.748153798083
"ENSG00000172590",1.71207124080572,12.6803980591403,25.1901957332527,1.11476708608947e-58,2.57399720178058e-55,123.213514701987
"ENSG00000130724",1.42391720027344,14.3294306404112,25.0982213838602,1.80656917942658e-58,3.722235355989e-55,122.733369597102
"ENSG00000171988",-1.79079178045805,13.207621561293,-25.0663562527979,2.13600003246953e-58,3.722235355989e-55,122.56677471334
"ENSG00000071859",1.31471036563447,13.4166953051009,25.065166421065,2.14940687511996e-58,3.722235355989e-55,122.560551677017
"ENSG00000185043",1.39206092524803,13.7839219355737,24.9802606169896,3.36065617873685e-58,5.37213815771774e-55,122.116023676118
"ENSG00000126756",1.2199557915726,13.239634244134,24.8457359456533,6.83520617648596e-58,1.01458871109682e-54,121.409873472977
"ENSG00000133812",-1.73912678837311,12.6780847483717,-24.8309685248896,7.39021513402925e-58,1.02384040466841e-54,121.332218326933
"ENSG00000141741",1.15804580929118,12.5936965491036,24.6504899682701,1.92296744331574e-57,2.49757415247152e-54,120.380959867516
"ENSG00000196465",1.40511494945651,12.7587234239022,24.5840225759202,2.73757192271646e-57,3.3464401250571e-54,120.029598474445
"ENSG00000108294",1.42769409276986,14.0909084034395,24.5618668825821,3.07998910522383e-57,3.55584742198091e-54,119.912355418521
"ENSG00000105393",1.71738464755966,12.4833607930977,24.5331797953649,3.58806808747267e-57,3.92440225925103e-54,119.760458136646
"ENSG00000174547",1.25093897399407,12.8246063078256,24.4821679784072,4.70853710265494e-57,4.89240547651361e-54,119.490096814969
"ENSG00000181991",1.17605378212801,13.0380527495365,24.4350783108129,6.05286331009726e-57,5.98974059272053e-54,119.240232570196
"ENSG00000170043",1.10798293316975,13.1093543112782,24.4148630152218,6.74252569209867e-57,6.36892847306829e-54,119.132881910042
"ENSG00000072506",1.33184922599993,13.4757306018971,24.3907287056477,7.67004567585492e-57,6.93005300825831e-54,119.004652533293
"ENSG00000144224",-1.45743668319425,14.1605705908788,-24.3538520909922,9.34087197214783e-57,7.95348115261111e-54,118.808579748738
"ENSG00000095564",-2.02952199352497,12.7426950759236,-24.3493546619026,9.56821273351993e-57,7.95348115261111e-54,118.784655229993
"ENSG00000116539",-1.6242687600536,13.5265708248091,-24.3332175055896,1.04306555937425e-56,8.33690207282934e-54,118.698791071345
"ENSG00000141380",-1.06847611021161,13.3213360808403,-24.276373018399,1.41401038560218e-56,1.08831666011848e-53,118.396066136511
"ENSG00000125743",1.33620371455922,14.1601988045898,24.2394887611409,1.72300740512107e-56,1.2787791744936e-53,118.199421474665
"ENSG00000108961",1.36140459883665,12.2886881840464,24.2317723539452,1.79578164118797e-56,1.28683235467335e-53,118.158260543763
