"Symbol","EnsemblID","logFC","adj.P.Val","Description"
"LAMTOR4","ENSG00000188186",1.7528847466207,2.16178617761958e-37,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]"
"CUTA","ENSG00000112514",1.73061588190622,8.63169112437988e-37,"cutA divalent cation tolerance homolog [Source:HGNC Symbol;Acc:HGNC:21101]"
"UBXN4","ENSG00000144224",-1.7158354156767,2.46197131396011e-36,"UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]"
"FAM50A","ENSG00000071859",1.75838450882843,2.62377529854574e-36,"family with sequence similarity 50 member A [Source:HGNC Symbol;Acc:HGNC:18786]"
"NHP2","ENSG00000145912",1.71889432671317,2.62377529854574e-36,"NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]"
"SF3B1","ENSG00000115524",-1.78210645031435,3.63507973535312e-36,"splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]"
"LAMTOR2","ENSG00000116586",1.85564981182812,8.23528087702046e-36,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]"
"EDF1","ENSG00000107223",1.75884411753594,8.43239192986863e-36,"endothelial differentiation related factor 1 [Source:HGNC Symbol;Acc:HGNC:3164]"
"USO1","ENSG00000138768",-1.78679022201165,9.56606529026784e-36,"USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]"
"UBXN1","ENSG00000162191",1.70077329702966,1.1026132276541e-35,"UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402]"
"TRAPPC1","ENSG00000170043",1.9430606644104,1.1026132276541e-35,"trafficking protein particle complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19894]"
"LSM10","ENSG00000181817",1.81125108637686,1.91455262879777e-35,"LSM10, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:17562]"
"C11orf68","ENSG00000175573",1.7675263301242,2.6344749885528e-35,"chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]"
"SF3B5","ENSG00000169976",1.7772978044741,4.57631919289242e-35,"splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083]"
"TMEM147","ENSG00000105677",1.73666414450196,5.0371202184576e-35,"transmembrane protein 147 [Source:HGNC Symbol;Acc:HGNC:30414]"
"SCAMP3","ENSG00000116521",1.7811293633182,8.58984575507199e-35,"secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]"
"HSD17B10","ENSG00000072506",1.77031493786113,1.04485769886889e-34,"hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]"
"AP2S1","ENSG00000042753",1.76816306855742,1.41003778782218e-34,"adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]"
"TMEM205","ENSG00000105518",1.69870766289468,1.65364097167493e-34,"transmembrane protein 205 [Source:HGNC Symbol;Acc:HGNC:29631]"
"CCDC167","ENSG00000198937",1.85461458774263,1.72636190604014e-34,"coiled-coil domain containing 167 [Source:HGNC Symbol;Acc:HGNC:21239]"
"TMEM219","ENSG00000149932",1.69075791627094,2.31444559721036e-34,"transmembrane protein 219 [Source:HGNC Symbol;Acc:HGNC:25201]"
"CHMP2A","ENSG00000130724",1.81184400030961,2.45869393568437e-34,"charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]"
"BCAP31","ENSG00000185825",1.78905874605887,4.35989447025322e-34,"B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]"
"RPLP2","ENSG00000177600",1.71555834929664,4.67540570888728e-34,"ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]"
