"","Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","C1_Identity__UP","GO:0014911","positive regulation of smooth muscle cell migration","17/1640","37/11518",0.459459459459459,3.22686222808174,5.52791617686185,3.48861551391239e-06,0.0175861108056323,0.0175861108056323,"ATP7A/FAT1/SSH1/ITGB3/DOCK4/DOCK7/DDR2/SEMA6D/TLR4/PDGFD/MIR221/IGFBP5/ITGA2/ADAMTS1/IGF1/CCN4/CYP1B1",17
"2","C1_Identity__DOWN","GO:0046034","ATP metabolic process","71/2154","187/11518",0.379679144385027,2.03024344708762,6.81221544675786,4.01347428516175e-10,2.1090807368525e-06,2.1090807368525e-06,"ATP5F1D/NDUFS8/NDUFB7/ARL2/ANTKMT/BAD/UQCC3/NDUFS6/NDUFS7/TSPO/JMJD8/MLST8/SIRT6/NDUFA3/PGAM2/NDUFA11/FIS1/NDUFA2/NDUFB10/ALDOA/NDUFV1/GALK1/DNAJC30/NDUFB11/ZBTB7A/RPTOR/EIF6/SLC2A6/PINK1/HSPA1A/PFKL/AK1/ATP5IF1/NDUFV3/HSPA1B/TREX1/CBFA2T3/PFKP/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/GAPDH/GIT1/NDUFB9/NDUFA6/TGFB1/NDUFS3/ENO3/GPI/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NUPR1/NDUFS5/COL6A1/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/MYH7/ATP5MGL/UCP2/IER3/OGDHL",71
"3","C1_Identity__DOWN","GO:0009205","purine ribonucleoside triphosphate metabolic process","75/2154","208/11518",0.360576923076923,1.92809888579387,6.47823124947715,2.00481745090239e-09,5.26765785224603e-06,5.26765785224603e-06,"ATP5F1D/NDUFS8/NDUFB7/ARL2/ANTKMT/BAD/UQCC3/NDUFS6/NDUFS7/TSPO/JMJD8/MLST8/SIRT6/NDUFA3/NME3/PGAM2/NME4/NDUFA11/FIS1/NDUFA2/NDUFB10/ALDOA/NDUFV1/GALK1/DNAJC30/NDUFB11/ZBTB7A/RPTOR/EIF6/SLC2A6/PINK1/HSPA1A/PFKL/AK1/ATP5IF1/ITPA/NDUFV3/HSPA1B/TREX1/CBFA2T3/PFKP/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/GAPDH/GIT1/NDUFB9/NDUFA6/TGFB1/NDUFS3/ENO3/GPI/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NUPR1/NDUFS5/COL6A1/IMPDH1/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/MYH7/ATP5MGL/UCP2/IER3/OGDHL",75
"4","C1_Identity__DOWN","GO:0009199","ribonucleoside triphosphate metabolic process","76/2154","215/11518",0.353488372093023,1.89019455420958,6.31930227441039,4.35364161836628e-09,7.62612890150494e-06,7.62612890150494e-06,"ATP5F1D/NDUFS8/NDUFB7/ARL2/ANTKMT/BAD/UQCC3/NDUFS6/NDUFS7/TSPO/JMJD8/MLST8/SIRT6/NDUFA3/NME3/PGAM2/NME4/NDUFA11/FIS1/NDUFA2/NDUFB10/ALDOA/NDUFV1/GALK1/DNAJC30/NDUFB11/ZBTB7A/RPTOR/EIF6/SLC2A6/PINK1/HSPA1A/PFKL/AK1/ATP5IF1/ITPA/NDUFV3/HSPA1B/TREX1/CBFA2T3/PFKP/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/GAPDH/GIT1/NDUFB9/NDUFA6/TGFB1/NDUFS3/ENO3/GPI/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NUPR1/NDUFS5/COL6A1/IMPDH1/NDUFA9/UCKL1/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/MYH7/ATP5MGL/UCP2/IER3/OGDHL",76
"5","C1_Identity__DOWN","GO:0009144","purine nucleoside triphosphate metabolic process","75/2154","214/11518",0.350467289719626,1.87404003852862,6.18990480668459,8.44263035570876e-09,1.10915056298124e-05,1.10915056298124e-05,"ATP5F1D/NDUFS8/NDUFB7/ARL2/ANTKMT/BAD/UQCC3/NDUFS6/NDUFS7/TSPO/JMJD8/MLST8/SIRT6/NDUFA3/NME3/PGAM2/NME4/NDUFA11/FIS1/NDUFA2/NDUFB10/ALDOA/NDUFV1/GALK1/DNAJC30/NDUFB11/ZBTB7A/RPTOR/EIF6/SLC2A6/PINK1/HSPA1A/PFKL/AK1/ATP5IF1/ITPA/NDUFV3/HSPA1B/TREX1/CBFA2T3/PFKP/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/GAPDH/GIT1/NDUFB9/NDUFA6/TGFB1/NDUFS3/ENO3/GPI/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NUPR1/NDUFS5/COL6A1/IMPDH1/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/MYH7/ATP5MGL/UCP2/IER3/OGDHL",75
"6","C1_Identity__DOWN","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","43/2154","100/11518",0.43,2.29932219127205,6.2586932560747,1.6759595974389e-08,1.3989132501638e-05,1.3989132501638e-05,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/UQCC3/NDUFS6/NDUFS7/NDUFA3/NME3/NME4/NDUFA11/NDUFA2/NDUFB10/ALDOA/NDUFV1/DNAJC30/NDUFB11/PINK1/NDUFV3/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/TGFB1/NDUFS3/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NDUFS5/IMPDH1/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/ATP5MGL",43
"7","C1_Identity__DOWN","GO:0009141","nucleoside triphosphate metabolic process","78/2154","229/11518",0.34061135371179,1.8213377771831,6.02106940790598,1.80597065086062e-08,1.3989132501638e-05,1.3989132501638e-05,"ATP5F1D/NDUFS8/NDUFB7/ARL2/ANTKMT/BAD/UQCC3/NDUFS6/NDUFS7/TSPO/JMJD8/MLST8/SIRT6/NDUFA3/NME3/PGAM2/NME4/NDUFA11/FIS1/NDUFA2/NDUFB10/ALDOA/NDUFV1/GALK1/DNAJC30/NDUFB11/DTYMK/ZBTB7A/RPTOR/EIF6/SLC2A6/PINK1/HSPA1A/PFKL/AK1/ATP5IF1/ITPA/NDUFV3/HSPA1B/TREX1/CBFA2T3/PFKP/ATP5ME/SPHK2/DCTPP1/NDUFB2/NDUFC1/ATP5MF/GAPDH/GIT1/NDUFB9/NDUFA6/TGFB1/NDUFS3/ENO3/GPI/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NUPR1/NDUFS5/COL6A1/IMPDH1/NDUFA9/UCKL1/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/MYH7/ATP5MGL/UCP2/IER3/OGDHL",78
"8","C1_Identity__DOWN","GO:0006091","generation of precursor metabolites and energy","128/2154","435/11518",0.294252873563218,1.57344688844064,5.84751026440022,2.18934119161351e-08,1.3989132501638e-05,1.3989132501638e-05,"ATP5F1D/NDUFS8/COX6A2/CAVIN3/NDUFB7/ARL2/ANTKMT/NOP53/MTLN/UQCC3/NDUFS6/NDUFS7/CHCHD5/JMJD8/ETFB/MLST8/SIRT6/CHCHD10/NDUFA3/PGAM2/COMT/AKR7A2/COX5B/PPP1CA/PPP1R3G/UCN/NDUFA11/NDUFA2/PGLS/CHCHD2/IDH3G/PLEC/NDUFB10/TALDO1/ALDOA/NDUFV1/GALK1/DNAJC30/NDUFB11/ABCD1/UQCR10/GFUS/POMC/ZBTB7A/RPTOR/EIF6/COX8A/GAA/SLC2A6/PINK1/PFKL/TRAP1/SDHAF2/COX4I2/ALDH4A1/ATP5IF1/SLC25A22/MDH2/COA8/NDUFV3/TREX1/CBFA2T3/FDXR/HMGCL/DHRS3/UQCR11/PFKP/ATP5ME/SPHK2/UQCRC1/NDUFB2/ASIP/UQCC2/NDUFC1/UQCRQ/COX17/ATP5MF/CYC1/GAPDH/SURF1/GIT1/PPP1R3F/NDUFB9/CXXC5/NDUFA6/COX4I1/IDH2/NDUFS3/PRELID1/COX7A1/POR/ENO3/ACO2/CYBA/GPI/NDUFAB1/ATP5F1E/COX6B1/MYBBP1A/TAFAZZIN/PHKG2/COX5A/PPIF/NUPR1/NDUFS5/COL6A1/NDUFA9/NDUFA1/NDUFA8/BLOC1S1/GLRX2/MT3/GYS1/HAAO/AIFM2/ND6/SDHA/G6PD/KHK/NDOR1/MTCO2P12/PYGM/NR1D1/NQO2/UCP2/PPP1R1A/IER3/OGDHL",128
"9","C1_Identity__DOWN","GO:0006119","oxidative phosphorylation","53/2154","136/11518",0.389705882352941,2.08385903107761,6.09810354819467,2.36386653363887e-08,1.3989132501638e-05,1.3989132501638e-05,"ATP5F1D/NDUFS8/COX6A2/NDUFB7/ANTKMT/UQCC3/NDUFS6/NDUFS7/CHCHD10/NDUFA3/COX5B/NDUFA11/NDUFA2/CHCHD2/NDUFB10/NDUFV1/DNAJC30/NDUFB11/ABCD1/UQCR10/COX8A/PINK1/SDHAF2/COX4I2/NDUFV3/UQCR11/ATP5ME/UQCRC1/NDUFB2/UQCC2/NDUFC1/UQCRQ/ATP5MF/CYC1/NDUFB9/NDUFA6/COX4I1/NDUFS3/COX7A1/NDUFAB1/ATP5F1E/COX6B1/TAFAZZIN/COX5A/PPIF/NUPR1/NDUFS5/NDUFA9/NDUFA1/NDUFA8/ND6/SDHA/MTCO2P12",53
"10","C1_Identity__DOWN","GO:0009145","purine nucleoside triphosphate biosynthetic process","43/2154","101/11518",0.425742574257426,2.27655662502183,6.17997332600153,2.39585523339186e-08,1.3989132501638e-05,1.3989132501638e-05,"ATP5F1D/NDUFS8/NDUFB7/ANTKMT/UQCC3/NDUFS6/NDUFS7/NDUFA3/NME3/NME4/NDUFA11/NDUFA2/NDUFB10/ALDOA/NDUFV1/DNAJC30/NDUFB11/PINK1/NDUFV3/ATP5ME/SPHK2/NDUFB2/NDUFC1/ATP5MF/NDUFB9/NDUFA6/TGFB1/NDUFS3/NUDT2/NDUFAB1/ATP5F1E/TAFAZZIN/VPS9D1/ATP5MC2/NDUFS5/IMPDH1/NDUFA9/NDUFA1/NDUFA8/ATP5MC1/ND6/SDHA/ATP5MGL",43
