"X.","Total","Control","DCM","HCM","PPCM"
"","(N=366)","(N=166)","(N=166)","(N=28)","(N=6)"
"Age (years)","","","","",""
"  Mean (SD)","53.3 (12.8)","55.9 (14.0)","52.1 (10.6)","48.7 (12.6)","34.7 (10.3)"
"  Median [Min, Max]","55.0 [15.0, 83.0]","57.0 [15.0, 83.0]","54.0 [20.0, 67.0]","50.0 [21.0, 67.0]","31.5 [25.0, 51.0]"
"Weight (kg)","","","","",""
"  Mean (SD)","81.2 (22.1)","84.9 (22.2)","79.7 (22.3)","71.0 (15.9)","68.7 (9.11)"
"  Median [Min, Max]","78.0 [27.0, 267]","82.0 [27.0, 163]","76.0 [44.0, 267]","70.0 [46.0, 106]","69.5 [53.0, 80.0]"
"Height (cm)","","","","",""
"  Mean (SD)","169 (16.7)","167 (16.7)","171 (15.1)","165 (24.5)","163 (9.42)"
"  Median [Min, Max]","170 [55.0, 196]","168 [73.0, 193]","171 [55.0, 196]","170 [75.0, 191]","165 [152, 175]"
"  Missing","1 (0.3%)","1 (0.6%)","0 (0%)","0 (0%)","0 (0%)"
"BMI (kg/m²)","","","","",""
"  Mean (SD)","29.6 (16.0)","31.1 (11.9)","28.3 (19.1)","28.8 (17.7)","26.1 (4.91)"
"  Median [Min, Max]","26.8 [17.3, 258]","28.4 [19.1, 118]","26.3 [17.8, 258]","24.6 [17.3, 108]","25.5 [18.3, 32.0]"
"  Missing","1 (0.3%)","1 (0.6%)","0 (0%)","0 (0%)","0 (0%)"
"Gender","","","","",""
"  Female","172 (47.0%)","89 (53.6%)","66 (39.8%)","11 (39.3%)","6 (100%)"
"  Male","194 (53.0%)","77 (46.4%)","100 (60.2%)","17 (60.7%)","0 (0%)"
"Ethnicity","","","","",""
"  African American","124 (33.9%)","44 (26.5%)","77 (46.4%)","1 (3.6%)","2 (33.3%)"
"  Caucasian","242 (66.1%)","122 (73.5%)","89 (53.6%)","27 (96.4%)","4 (66.7%)"
"Heart Weight (g)","","","","",""
"  Mean (SD)","469 (136)","425 (115)","515 (139)","465 (151)","390 (76.5)"
"  Median [Min, Max]","448 [151, 923]","417 [159, 842]","496 [151, 898]","445 [280, 923]","397 [284, 475]"
"  Missing","7 (1.9%)","7 (4.2%)","0 (0%)","0 (0%)","0 (0%)"
"LVᵃ Mass (g)","","","","",""
"  Mean (SD)","266 (91.5)","230 (69.1)","330 (85.9)","314 (116)","176 (NA)"
"  Median [Min, Max]","247 [104, 613]","215 [104, 428]","317 [190, 520]","315 [135, 613]","176 [176, 176]"
"  Missing","207 (56.6%)","68 (41.0%)","119 (71.7%)","15 (53.6%)","5 (83.3%)"
"Atrial Fibrillation","","","","",""
"  Present","106 (29.0%)","17 (10.2%)","67 (40.4%)","21 (75.0%)","1 (16.7%)"
"  Absent","255 (69.7%)","148 (89.2%)","96 (57.8%)","7 (25.0%)","4 (66.7%)"
"  Missing","5 (1.4%)","1 (0.6%)","3 (1.8%)","0 (0%)","1 (16.7%)"
"VTVFᵇ","","","","",""
"  Present","89 (24.3%)","1 (0.6%)","71 (42.8%)","14 (50.0%)","3 (50.0%)"
"  Absent","275 (75.1%)","164 (98.8%)","94 (56.6%)","14 (50.0%)","3 (50.0%)"
"  Missing","2 (0.5%)","1 (0.6%)","1 (0.6%)","0 (0%)","0 (0%)"
"Diabetes Mellitus","","","","",""
"  Present","80 (21.9%)","39 (23.5%)","40 (24.1%)","1 (3.6%)","0 (0%)"
"  Absent","284 (77.6%)","125 (75.3%)","126 (75.9%)","27 (96.4%)","6 (100%)"
"  Missing","2 (0.5%)","2 (1.2%)","0 (0%)","0 (0%)","0 (0%)"
"Hypertension","","","","",""
"  Present","186 (50.8%)","102 (61.4%)","78 (47.0%)","6 (21.4%)","0 (0%)"
"  Absent","179 (48.9%)","63 (38.0%)","88 (53.0%)","22 (78.6%)","6 (100%)"
"  Missing","1 (0.3%)","1 (0.6%)","0 (0%)","0 (0%)","0 (0%)"
"LVᵃ Ejection Fraction","","","","",""
"  Mean (SD)","0.307 (0.211)","0.556 (0.124)","0.162 (0.0860)","0.316 (0.175)","0.213 (0.131)"
"  Median [Min, Max]","0.200 [0.0500, 0.800]","0.550 [0.150, 0.800]","0.150 [0.0500, 0.750]","0.250 [0.100, 0.700]","0.175 [0.100, 0.400]"
"  Missing","80 (21.9%)","72 (43.4%)","5 (3.0%)","1 (3.6%)","2 (33.3%)"
