"X.","Total","Cluster.1","Cluster.2","Cluster.3"
"","(N=166)","(N=88)","(N=51)","(N=27)"
"Age (years)","","","",""
"  Mean (SD)","52.1 (10.6)","51.2 (11.1)","53.3 (8.96)","52.5 (11.7)"
"  Median [Min, Max]","54.0 [20.0, 67.0]","54.0 [20.0, 67.0]","55.0 [26.0, 67.0]","56.0 [20.0, 66.0]"
"Weight (kg)","","","",""
"  Mean (SD)","79.7 (22.3)","76.9 (16.1)","81.5 (16.6)","85.1 (41.4)"
"  Median [Min, Max]","76.0 [44.0, 267]","75.0 [44.0, 118]","81.0 [44.0, 121]","75.0 [49.0, 267]"
"Height (cm)","","","",""
"  Mean (SD)","171 (15.1)","172 (10.7)","168 (21.7)","173 (11.2)"
"  Median [Min, Max]","171 [55.0, 196]","170 [150, 195]","173 [55.0, 193]","170 [152, 196]"
"BMI (kg/m²)","","","",""
"  Mean (SD)","28.3 (19.1)","25.8 (4.19)","33.0 (33.1)","27.7 (10.0)"
"  Median [Min, Max]","26.3 [17.8, 258]","25.5 [17.8, 36.1]","28.1 [17.9, 258]","25.1 [18.4, 69.5]"
"Gender","","","",""
"  Female","66 (39.8%)","34 (38.6%)","20 (39.2%)","12 (44.4%)"
"  Male","100 (60.2%)","54 (61.4%)","31 (60.8%)","15 (55.6%)"
"Ethnicity","","","",""
"  African American","77 (46.4%)","40 (45.5%)","24 (47.1%)","13 (48.1%)"
"  Caucasian","89 (53.6%)","48 (54.5%)","27 (52.9%)","14 (51.9%)"
"Heart Weight (g)","","","",""
"  Mean (SD)","515 (139)","496 (146)","548 (132)","512 (117)"
"  Median [Min, Max]","496 [151, 898]","463 [151, 898]","553 [293, 833]","507 [303, 730]"
"LVᵃ Mass (g)","","","",""
"  Mean (SD)","330 (85.9)","316 (82.1)","329 (86.3)","366 (93.0)"
"  Median [Min, Max]","317 [190, 520]","308 [190, 437]","312 [203, 520]","395 [224, 481]"
"  Missing","119 (71.7%)","63 (71.6%)","39 (76.5%)","17 (63.0%)"
"Atrial Fibrillation","","","",""
"  Presence","67 (40.4%)","35 (39.8%)","21 (41.2%)","11 (40.7%)"
"  Absent","96 (57.8%)","51 (58.0%)","30 (58.8%)","15 (55.6%)"
"  Missing","3 (1.8%)","2 (2.3%)","0 (0%)","1 (3.7%)"
"VTVFᵇ","","","",""
"  Presence","71 (42.8%)","41 (46.6%)","20 (39.2%)","10 (37.0%)"
"  Absent","94 (56.6%)","47 (53.4%)","31 (60.8%)","16 (59.3%)"
"  Missing","1 (0.6%)","0 (0%)","0 (0%)","1 (3.7%)"
"Diabetes Mellitus","","","",""
"  Presence","40 (24.1%)","19 (21.6%)","14 (27.5%)","7 (25.9%)"
"  Absent","126 (75.9%)","69 (78.4%)","37 (72.5%)","20 (74.1%)"
"Hypertension","","","",""
"  Presence","78 (47.0%)","36 (40.9%)","24 (47.1%)","18 (66.7%)"
"  Absent","88 (53.0%)","52 (59.1%)","27 (52.9%)","9 (33.3%)"
"LVᵃ Ejection Fraction","","","",""
"  Mean (SD)","0.162 (0.0860)","0.164 (0.0972)","0.154 (0.0730)","0.172 (0.0701)"
"  Median [Min, Max]","0.150 [0.0500, 0.750]","0.150 [0.0500, 0.750]","0.150 [0.0500, 0.460]","0.170 [0.0500, 0.350]"
"  Missing","5 (3.0%)","3 (3.4%)","2 (3.9%)","0 (0%)"
