"Symbol","EnsemblID","logFC","adj.P.Val","Description"
"FGD5-AS1","ENSG00000225733",0.701898394604607,2.10900256082704e-10,"FGD5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40410]"
"UBXN4","ENSG00000144224",0.559202338863083,5.07253862838923e-10,"UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]"
"SEPTIN7","ENSG00000122545",0.636619699397695,5.45700274540437e-10,"septin 7 [Source:HGNC Symbol;Acc:HGNC:1717]"
"ACTR2","ENSG00000138071",0.612960536262775,5.45700274540437e-10,"actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]"
"PCNP","ENSG00000081154",0.637410077768788,5.91288215867529e-10,"PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]"
"MRPL27","ENSG00000108826",-0.684834123070233,6.19625992647936e-10,"mitochondrial ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:14483]"
"MRPL14","ENSG00000180992",-0.653560060214415,8.988674643443e-10,"mitochondrial ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:14279]"
"SERINC1","ENSG00000111897",0.634926017511371,9.84126214214599e-10,"serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]"
"ITGB1","ENSG00000150093",0.602562759795087,9.84126214214599e-10,"integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]"
"CCDC167","ENSG00000198937",-0.60290981693681,1.44974569464929e-09,"coiled-coil domain containing 167 [Source:HGNC Symbol;Acc:HGNC:21239]"
"GOLPH3","ENSG00000113384",0.748334461480888,1.54145848042496e-09,"golgi phosphoprotein 3 [Source:HGNC Symbol;Acc:HGNC:15452]"
"NDUFAF8","ENSG00000224877",-0.618118427365682,1.97452056963449e-09,"NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]"
"SERPINB6","ENSG00000124570",-0.657768644414915,2.25845798380831e-09,"serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]"
"ADD3","ENSG00000148700",0.602104459953878,2.25845798380831e-09,"adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]"
"MSRB2","ENSG00000148450",-0.731967633166601,2.37293724471817e-09,"methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]"
"COX14","ENSG00000178449",-0.682537735992357,2.37293724471817e-09,"cytochrome c oxidase assembly factor COX14 [Source:HGNC Symbol;Acc:HGNC:28216]"
"HMGN4","ENSG00000182952",0.689910042215929,4.49078443254347e-09,"high mobility group nucleosomal binding domain 4 [Source:HGNC Symbol;Acc:HGNC:4989]"
"TGFBR2","ENSG00000163513",0.793360182584967,4.49078443254347e-09,"transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]"
"TACO1","ENSG00000136463",-0.755784393852526,4.49078443254347e-09,"translational activator of cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:24316]"
"DEXI","ENSG00000182108",-0.599507703684258,4.49078443254347e-09,"Dexi homolog [Source:HGNC Symbol;Acc:HGNC:13267]"
"CD46","ENSG00000117335",0.604281498492013,4.49078443254347e-09,"CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]"
"LAMTOR2","ENSG00000116586",-0.551060996517534,4.59145014201011e-09,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]"
"TIMM10","ENSG00000134809",-0.687997631943803,8.84473698883319e-09,"translocase of inner mitochondrial membrane 10 [Source:HGNC Symbol;Acc:HGNC:11814]"
"SF3B1","ENSG00000115524",0.513472662798561,8.88770146375043e-09,"splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]"
